定期券（回数券）ID,組合員番号,前受金額,学年,追加回数,合計申込回数,利用総額,利用回数,コース順位,全体順位,コース数
917601887 ,891760064923 ,140000,2年,,,59257,91,325,947,749
917601886 ,891760064958 ,220000,2年,,,119600,187,48,187,433
917601886 ,891760065156 ,220000,2年,,,124577,191,30,112,433
917601887 ,891760065202 ,140000,2年,,,55344,75,354,1032,749
917601887 ,891760065245 ,140000,2年,,,62038,81,300,884,749
917601885 ,891760065377 ,295000,2年,,,133914,180,16,43,57
917601886 ,891760065482 ,220000,2年,,,121893,182,40,159,433
917601887 ,891760065504 ,140000,2年,,,67563,134,239,726,749
917601887 ,891760065709 ,140000,2年,,,67824,92,236,720,749
917601887 ,891760065733 ,140000,2年,,,45479,65,404,1156,749
917601887 ,891760065784 ,140000,2年,,,69265,109,217,673,749
917601887 ,891760065873 ,140000,2年,,,72813,110,172,564,749
917601887 ,891760065890 ,140000,2年,,,68233,134,232,709,749
917601887 ,891760065946 ,140000,2年,,,70889,97,194,623,749
917601887 ,891760066039 ,140000,2年,,,57557,81,343,992,749
917601887 ,891760066055 ,140000,2年,,,62709,103,291,867,749
917601887 ,891760066071 ,140000,2年,,,66340,96,250,763,749
917601886 ,891760066098 ,220000,2年,,,117127,184,58,213,433
917601887 ,891760066110 ,140000,2年,,,61753,129,301,888,749
917601886 ,891760066187 ,220000,2年,,,78102,113,133,450,433
917601887 ,891760066217 ,140000,2年,,,72267,99,179,584,749
917601887 ,891760066250 ,140000,2年,,,53398,84,369,1069,749
917601886 ,891760066284 ,220000,2年,,,124520,166,31,114,433
917601886 ,891760066365 ,220000,2年,,,87410,128,120,414,433
917601887 ,891760066390 ,140000,2年,,,34662,58,424,1210,749
917601887 ,891760066446 ,140000,2年,,,53551,116,368,1067,749
917601886 ,891760066501 ,220000,2年,,,102373,168,103,347,433
917601886 ,891760066560 ,220000,2年,,,122577,181,37,146,433
917601886 ,891760066586 ,220000,2年,,,106781,157,89,312,433
917601887 ,891760066675 ,140000,2年,,,68924,105,222,685,749
917601886 ,891760066713 ,220000,2年,,,73761,105,164,536,433
917601887 ,891760066748 ,140000,2年,,,76792,98,141,465,749
917601887 ,891760066772 ,140000,2年,,,66133,93,252,769,749
917601886 ,891760066870 ,220000,2年,,,116903,180,60,219,433
917601887 ,891760066918 ,140000,2年,,,63469,85,286,851,749
917601886 ,891760066951 ,220000,2年,,,116498,172,152,224,433
917601887 ,891760067078 ,140000,2年,,,57328,78,609,996,749
917601887 ,891760067094 ,140000,2年,,,52121,77,660,1082,749
917601887 ,891760067256 ,140000,2年,,,72436,94,378,582,749
917601887 ,891760067272 ,140000,2年,,,75489,108,322,493,749
917601887 ,891760067361 ,140000,2年,,,68279,130,443,707,749
917601887 ,891760067434 ,140000,2年,,,51893,88,663,1087,749
917601886 ,891760067477 ,220000,2年,,,127116,203,61,87,433
917601887 ,891760067523 ,140000,2年,,,65481,91,495,792,749
917601886 ,891760067621 ,220000,2年,,,111104,174,187,279,433
917601887 ,891760067663 ,140000,2年,,,53744,89,650,1062,749
917601887 ,891760067744 ,140000,2年,,,57859,108,603,988,749
917601887 ,891760067779 ,140000,2年,,,68354,107,440,704,749
917601887 ,891760067795 ,140000,2年,,,65664,116,491,782,749
917601886 ,891760067876 ,220000,2年,,,130422,204,33,54,433
917601886 ,891760067914 ,220000,2年,,,123382,191,96,133,433
917601887 ,891760068066 ,140000,2年,,,7520,11,748,1236,749
917601886 ,891760068121 ,220000,2年,,,116850,191,149,221,433
917601887 ,891760068236 ,140000,2年,,,70030,153,410,648,749
917601886 ,891760068465 ,220000,2年,,,125072,195,74,104,433
917601887 ,891760068601 ,140000,2年,,,65725,93,490,781,749
917601887 ,891760068627 ,140000,2年,,,56830,81,616,1006,749
917601885 ,891760068643 ,295000,2年,,,168779,181,7,7,57
917601886 ,891760068660 ,220000,2年,,,83126,108,281,425,433
917601887 ,891760068805 ,140000,2年,,,73083,107,361,554,749
917601887 ,891760068830 ,140000,2年,,,76526,159,306,473,749
917601886 ,891760068864 ,220000,2年,,,88709,125,274,410,433
917601886 ,891760068945 ,220000,2年,,,124755,196,77,108,433
917601887 ,891760068970 ,140000,2年,,,9216,29,747,1235,749
917601886 ,891760069038 ,220000,2年,,,107874,110,203,302,433
917601887 ,891760069054 ,140000,2年,,,67410,122,456,730,749
917601887 ,891760069089 ,140000,2年,,,60312,97,567,921,749
917601887 ,891760069232 ,140000,2年,,,71772,95,386,600,749
917601887 ,891760069381 ,140000,2年,,,69896,100,414,653,749
917601886 ,891760069402 ,220000,2年,,,19811,26,744,1230,433
917601886 ,891760069461 ,220000,2年,,,108771,160,197,294,433
917601887 ,891760069534 ,140000,2年,,,72255,104,380,586,749
917601887 ,891760069607 ,140000,2年,,,60279,83,569,924,749
917601887 ,891760069879 ,140000,2年,,,76892,101,301,463,749
917601887 ,891760069917 ,140000,2年,,,69927,92,412,651,749
917601887 ,891760069933 ,140000,2年,,,74024,117,345,530,749
917601887 ,891760070036 ,140000,2年,,,71374,94,393,613,749
917601887 ,891760070141 ,140000,2年,,,59528,88,580,942,749
917601887 ,891760070184 ,140000,2年,,,39905,67,724,1193,749
917601887 ,891760070257 ,140000,2年,,,16839,24,745,1232,749
917601887 ,891760070451 ,140000,2年,,,54932,74,640,1044,749
917601887 ,891760070621 ,140000,2年,,,59894,85,575,934,749
917601887 ,891760070702 ,140000,2年,,,70884,131,400,624,749
917601887 ,891760070923 ,140000,2年,,,68078,86,446,712,749
917601886 ,891760070966 ,220000,2年,,,132514,201,27,46,433
917601887 ,891760071016 ,140000,2年,,,59466,87,581,943,749
917601887 ,891760071229 ,140000,2年,,,65274,92,497,797,749
917601887 ,891760071245 ,140000,2年,,,74042,97,344,529,749
917601887 ,891760071733 ,140000,2年,,,76271,139,310,478,749
917601886 ,891760071776 ,220000,2年,,,54475,80,645,1050,433
917601887 ,891760071831 ,140000,2年,,,49290,66,681,1121,749
917601887 ,891760072250 ,140000,2年,,,53178,75,654,1071,749
917601887 ,891760072276 ,140000,2年,,,67886,88,450,717,749
917601887 ,891760072357 ,140000,2年,,,58149,90,598,976,749
917601887 ,891760072381 ,140000,2年,,,64434,104,511,818,749
917601886 ,891760072683 ,220000,2年,,,121439,215,117,165,433
917601887 ,891760072705 ,140000,2年,,,70152,96,408,643,749
917601887 ,891760072802 ,140000,2年,,,61282,83,557,904,749
917601887 ,891760072837 ,140000,2年,,,75361,114,324,495,749
917601887 ,891760072896 ,140000,2年,,,53286,85,653,1070,749
917601886 ,891760073027 ,220000,2年,,,128070,212,52,76,433
917601886 ,891760073124 ,220000,2年,,,126568,228,64,90,433
917601885 ,891760073191 ,295000,2年,,,134074,174,24,42,57
917601887 ,891760073213 ,140000,2年,,,45293,74,701,1157,749
917601885 ,891760073353 ,295000,2年,,,146547,184,21,34,57
917601886 ,891760073477 ,220000,2年,,,124266,153,82,116,433
917601886 ,891760073540 ,220000,2年,,,102912,158,224,339,433
917601887 ,891760073604 ,140000,2年,,,70950,96,399,622,749
917601887 ,891760073639 ,140000,2年,,,40159,62,723,1192,749
917601886 ,891760073744 ,220000,2年,,,117709,138,141,205,433
917601887 ,891760073779 ,140000,2年,,,70619,107,404,630,749
917601887 ,891760073922 ,140000,2年,,,53797,75,649,1061,749
917601887 ,891760073957 ,140000,2年,,,78364,100,294,446,749
917601886 ,891760073973 ,220000,2年,,,108536,177,199,297,433
917601887 ,891760073990 ,140000,2年,,,67184,91,462,736,749
917601887 ,891760074040 ,140000,2年,,,60558,105,566,918,749
917601887 ,891760074082 ,140000,2年,,,53664,91,651,1063,749
917601887 ,891760074139 ,140000,2年,,,65501,96,494,791,749
917601887 ,891760074210 ,140000,2年,,,67419,89,455,729,749
