定期券（回数券）ID,組合員番号,前受金額,学年,追加回数,合計申込回数,利用総額,利用回数,コース順位,全体順位,コース数
917601886,8.9176E+11,220000,1年,,,123795,220,90,126,433
917601886,8.9176E+11,220000,1年,,,125853,261,68,97,433
917601887,8.9176E+11,140000,1年,,,69552,115,420,664,749
917601886,8.9176E+11,220000,1年,,,125921,196,67,96,433
917601886,8.9176E+11,220000,1年,,,107079,152,207,309,433
917601886,8.9176E+11,220000,1年,,,97363,150,246,375,433
917601886,8.9176E+11,220000,1年,,,123840,173,87,123,433
917601887,8.9176E+11,140000,1年,,,64042,84,519,829,749
917601885,8.9176E+11,295000,1年,,,90410,126,268,403,57
917601887,8.9176E+11,140000,1年,,,39434,73,725,1195,749
917601885,8.9176E+11,295000,1年,,,147897,235,19,31,57
917601886,8.9176E+11,220000,1年,,,99000,152,239,366,433
917601886,8.9176E+11,220000,1年,,,65076,86,505,806,433
917601887,8.9176E+11,140000,1年,,,73445,126,352,544,749
917601886,8.9176E+11,220000,1年,,,116906,174,147,218,433
917601887,8.9176E+11,140000,1年,,,66790,122,473,751,749
917601887,8.9176E+11,140000,1年,,,60690,86,563,914,749
917601886,8.9176E+11,220000,1年,,,115097,174,160,238,433
917601887,8.9176E+11,140000,1年,,,57367,106,608,995,749
917601886,8.9176E+11,220000,1年,,,100461,190,234,355,433
917601886,8.9176E+11,220000,1年,,,122945,248,102,141,433
917601886,8.9176E+11,220000,1年,,,77430,142,296,453,433
917601887,8.9176E+11,140000,1年,,,67279,114,459,733,749
917601886,8.9176E+11,220000,1年,,,123586,201,91,127,433
917601887,8.9176E+11,140000,1年,,,74221,126,340,524,749
917601886,8.9176E+11,220000,1年,,,127816,188,56,81,433
917601886,8.9176E+11,220000,1年,,,119201,166,134,190,433
917601887,8.9176E+11,140000,1年,,,69369,133,424,671,749
917601887,8.9176E+11,140000,1年,,,42293,68,716,1180,749
917601886,8.9176E+11,220000,1年,,,118951,165,137,193,433
917601887,8.9176E+11,140000,1年,,,71940,126,383,595,749
917601886,8.9176E+11,220000,1年,,,102738,147,225,340,433
917601886,8.9176E+11,220000,1年,,,129233,197,41,63,433
917601886,8.9176E+11,220000,1年,,,90087,124,270,406,433
917601886,8.9176E+11,220000,1年,,,133552,193,25,44,433
917601886,8.9176E+11,220000,1年,,,127991,220,53,77,433
917601887,8.9176E+11,140000,1年,,,58147,87,599,977,749
917601886,8.9176E+11,220000,1年,,,80898,113,284,431,433
917601886,8.9176E+11,220000,1年,,,103664,161,220,335,433
917601886,8.9176E+11,220000,1年,,,112254,163,181,268,433
917601887,8.9176E+11,140000,1年,,,73304,126,358,550,749
917601886,8.9176E+11,220000,1年,,,111810,198,183,272,433
917601887,8.9176E+11,140000,1年,,,55920,79,629,1023,749
917601886,8.9176E+11,220000,1年,,,120612,175,124,177,433
917601886,8.9176E+11,220000,1年,,,80807,115,286,433,433
917601885,8.9176E+11,295000,1年,,,173019,289,5,5,57
917601887,8.9176E+11,140000,1年,,,51707,70,665,1091,749
917601887,8.9176E+11,140000,1年,,,59158,82,589,955,749
917601886,8.9176E+11,220000,1年,,,114897,179,161,241,433
917601887,8.9176E+11,140000,1年,,,53938,78,647,1059,749
917601887,8.9176E+11,140000,1年,,,64490,110,509,814,749
917601886,8.9176E+11,220000,1年,,,128350,180,49,72,433
917601887,8.9176E+11,140000,1年,,,55343,84,634,1033,749
917601887,8.9176E+11,140000,1年,,,72953,118,363,558,749
917601886,8.9176E+11,220000,1年,,,119422,180,133,189,433
917601887,8.9176E+11,140000,1年,,,63734,99,523,838,749
917601887,8.9176E+11,140000,1年,,,74136,119,342,527,749
917601886,8.9176E+11,220000,1年,,,130348,193,34,56,433
917601886,8.9176E+11,220000,1年,,,61835,101,550,886,433
917601886,8.9176E+11,220000,1年,,,79649,128,290,438,433
917601887,8.9176E+11,140000,1年,,,56113,84,626,1020,749
917601887,8.9176E+11,140000,1年,,,56132,74,625,1019,749
917601886,8.9176E+11,220000,1年,,,97125,140,247,376,433
917601886,8.9176E+11,220000,1年,,,107546,156,204,305,433
917601887,8.9176E+11,140000,1年,,,44872,89,703,1161,749
917601887,8.9176E+11,140000,1年,,,57608,113,606,991,749
917601886,8.9176E+11,220000,1年,,,120984,200,121,173,433
917601886,8.9176E+11,220000,1年,,,93271,95,261,394,433
917601887,8.9176E+11,140000,1年,,,59931,91,574,933,749
917601887,8.9176E+11,140000,1年,,,66253,104,482,765,749
917601886,8.9176E+11,220000,1年,,,108266,147,200,299,433
917601886,8.9176E+11,220000,1年,,,104280,156,216,330,433
917601887,8.9176E+11,140000,1年,,,44419,72,707,1165,749
917601887,8.9176E+11,140000,1年,,,69938,143,411,650,749
917601887,8.9176E+11,140000,1年,,,51297,69,668,1098,749
917601885,8.9176E+11,295000,1年,,,112403,145,180,265,57
917601887,8.9176E+11,140000,1年,,,62705,90,541,868,749
917601887,8.9176E+11,140000,1年,,,60608,100,565,916,749
917601886,8.9176E+11,220000,1年,,,91221,137,266,401,433
917601887,8.9176E+11,140000,1年,,,55331,113,636,1035,749
917601886,8.9176E+11,220000,1年,,,118471,216,140,200,433
917601887,8.9176E+11,140000,1年,,,35392,52,730,1204,749
917601886,8.9176E+11,220000,1年,,,103061,155,222,337,433
917601887,8.9176E+11,140000,1年,,,74162,118,341,525,749
917601887,8.9176E+11,140000,1年,,,63138,121,536,859,749
917601886,8.9176E+11,220000,1年,,,123236,187,99,137,433
917601886,8.9176E+11,220000,1年,,,124875,187,76,107,433
917601887,8.9176E+11,140000,1年,,,54921,90,641,1045,749
917601887,8.9176E+11,140000,1年,,,46220,74,696,1148,749
917601886,8.9176E+11,220000,1年,,,114416,174,162,243,433
917601887,8.9176E+11,140000,1年,,,66456,107,478,760,749
917601887,8.9176E+11,140000,1年,,,61157,96,558,906,749
917601886,8.9176E+11,220000,1年,,,117122,165,146,214,433
917601886,8.9176E+11,220000,1年,,,89349,120,271,407,433
917601887,8.9176E+11,140000,1年,,,49400,75,679,1119,749
917601887,8.9176E+11,140000,1年,,,75704,159,318,489,749
917601887,8.9176E+11,140000,1年,,,58003,80,601,982,749
917601887,8.9176E+11,140000,1年,,,63175,128,535,858,749
917601887,8.9176E+11,140000,1年,,,66932,119,468,746,749
917601887,8.9176E+11,140000,1年,,,62790,113,539,865,749
917601887,8.9176E+11,140000,1年,,,54471,130,646,1051,749
917601887,8.9176E+11,140000,1年,,,42959,85,712,1175,749
917601887,8.9176E+11,140000,1年,,,55976,78,627,1021,749
917601887,8.9176E+11,140000,1年,,,70672,136,403,628,749
917601887,8.9176E+11,140000,1年,,,66430,121,480,762,749
917601887,8.9176E+11,140000,1年,,,65153,114,502,803,749
917601886,8.9176E+11,220000,1年,,,95320,143,253,385,433
917601886,8.9176E+11,220000,1年,,,116857,181,148,220,433
917601886,8.9176E+11,220000,1年,,,125027,197,75,105,433
917601887,8.9176E+11,140000,1年,,,40606,65,722,1191,749
917601887,8.9176E+11,140000,1年,,,59189,93,587,952,749
917601887,8.9176E+11,140000,1年,,,22001,48,742,1228,749
917601887,8.9176E+11,140000,1年,,,72850,153,366,562,749
917601886,8.9176E+11,220000,1年,,,65979,100,485,772,433
917601886,8.9176E+11,220000,1年,,,108238,144,201,300,433
917601887,8.9176E+11,140000,1年,,,69027,154,428,679,749
917601886,8.9176E+11,220000,1年,,,95642,189,252,383,433
917601887,8.9176E+11,140000,1年,,,69549,112,421,665,749
917601886,8.9176E+11,220000,1年,,,104910,151,213,323,433
917601887,8.9176E+11,140000,1年,,,77123,140,300,461,749
917601887,8.9176E+11,140000,1年,,,76207,141,311,479,749
917601887,8.9176E+11,140000,1年,,,63431,113,531,853,749
917601887,8.9176E+11,140000,1年,,,63670,98,525,841,749
917601887,8.9176E+11,140000,1年,,,51806,70,664,1088,749
917601886,8.9176E+11,220000,1年,,,127049,212,63,89,433
917601886,8.9176E+11,220000,1年,,,122950,202,101,140,433
917601886,8.9176E+11,220000,1年,,,122305,193,108,151,433
917601887,8.9176E+11,140000,1年,,,72492,101,375,579,749
917601887,8.9176E+11,140000,1年,,,63510,111,529,849,749
917601887,8.9176E+11,140000,1年,,,74056,115,343,528,749
917601887,8.9176E+11,140000,1年,,,74864,140,332,507,749
917601886,8.9176E+11,220000,1年,,,117319,187,142,208,433
917601887,8.9176E+11,140000,1年,,,71796,117,385,599,749
917601886,8.9176E+11,220000,1年,,,121655,170,114,162,433
917601887,8.9176E+11,140000,1年,,,63205,135,533,856,749
917601886,8.9176E+11,220000,1年,,,119485,179,132,188,433
917601887,8.9176E+11,140000,1年,,,57250,86,610,997,749
917601887,8.9176E+11,140000,1年,,,73714,155,350,539,749
917601886,8.9176E+11,220000,1年,,,129471,188,36,58,433
917601886,8.9176E+11,220000,1年,,,113895,177,163,246,433
917601886,8.9176E+11,220000,1年,,,110770,149,189,283,433
917601886,8.9176E+11,220000,1年,,,127606,193,57,83,433
917601887,8.9176E+11,140000,1年,,,61700,146,553,891,749
917601886,8.9176E+11,220000,1年,,,113856,172,164,248,433
917601886,8.9176E+11,220000,1年,,,131076,197,30,51,433
917601887,8.9176E+11,140000,1年,,,56993,114,613,1003,749
917601887,8.9176E+11,140000,1年,,,62940,114,537,860,749
917601887,8.9176E+11,140000,1年,,,56914,131,615,1005,749
917601887,8.9176E+11,140000,1年,,,63627,109,527,843,749
917601887,8.9176E+11,140000,1年,,,43163,59,711,1173,749
917601886,8.9176E+11,220000,1年,,,93898,146,258,391,433
917601887,8.9176E+11,140000,1年,,,69627,106,418,659,749
917601887,8.9176E+11,140000,1年,,,57785,140,604,989,749
917601886,8.9176E+11,220000,1年,,,129296,272,40,62,433
917601887,8.9176E+11,140000,1年,,,63451,114,530,852,749
917601887,8.9176E+11,140000,1年,,,68694,96,433,689,749
917601887,8.9176E+11,140000,1年,,,46223,64,695,1147,749
917601887,8.9176E+11,140000,1年,,,72818,120,367,563,749
917601887,8.9176E+11,140000,1年,,,72785,108,368,567,749
917601886,8.9176E+11,220000,1年,,,80818,118,285,432,433
917601887,8.9176E+11,140000,1年,,,69243,122,425,674,749
917601885,8.9176E+11,295000,1年,,,170388,260,6,6,57
917601886,8.9176E+11,220000,1年,,,128826,189,45,68,433
917601887,8.9176E+11,140000,1年,,,74656,105,334,513,749
917601886,8.9176E+11,220000,1年,,,73312,125,356,548,433
917601886,8.9176E+11,220000,1年,,,84846,102,278,422,433
917601886,8.9176E+11,220000,1年,,,106960,177,208,310,433
917601886,8.9176E+11,220000,1年,,,125728,167,69,98,433
917601886,8.9176E+11,220000,1年,,,120264,181,129,182,433
917601887,8.9176E+11,140000,1年,,,74576,102,335,516,749
917601887,8.9176E+11,140000,1年,,,44742,60,705,1163,749
917601886,8.9176E+11,220000,1年,,,127260,200,60,86,433
917601887,8.9176E+11,140000,1年,,,41165,66,720,1187,749
917601887,8.9176E+11,140000,1年,,,75441,130,323,494,749
917601887,8.9176E+11,140000,1年,,,72439,108,377,581,749
917601887,8.9176E+11,140000,1年,,,74236,184,339,523,749
917601887,8.9176E+11,140000,1年,,,68410,119,438,702,749
917601887,8.9176E+11,140000,1年,,,37011,68,729,1202,749
917601886,8.9176E+11,220000,1年,,,113852,187,165,249,433
917601886,8.9176E+11,220000,1年,,,66256,73,481,764,433
917601887,8.9176E+11,140000,1年,,,65261,117,498,798,749
917601887,8.9176E+11,140000,1年,,,68666,108,434,694,749
917601887,8.9176E+11,140000,1年,,,68029,112,448,714,749
917601887,8.9176E+11,140000,1年,,,55734,82,631,1026,749
917601887,8.9176E+11,140000,1年,,,66774,94,475,753,749
917601887,8.9176E+11,140000,1年,,,76122,159,313,482,749
917601887,8.9176E+11,140000,1年,,,59255,90,583,948,749
917601885,8.9176E+11,295000,1年,,,161901,262,11,14,57
917601886,8.9176E+11,220000,1年,,,128233,195,50,74,433
917601887,8.9176E+11,140000,,,,61839,113,549,885,749
917601887,8.9176E+11,140000,1年,,,54818,85,644,1048,749
917601887,8.9176E+11,140000,1年,,,60282,103,568,923,749
917601887,8.9176E+11,140000,1年,,,72916,152,365,560,749
917601886,8.9176E+11,220000,1年,,,120038,189,130,183,433
917601886,8.9176E+11,220000,1年,,,131572,367,28,49,433
917601886,8.9176E+11,220000,1年,,,123150,200,100,138,433
917601886,8.9176E+11,220000,1年,,,111162,230,186,278,433
917601887,8.9176E+11,140000,1年,,,33015,79,734,1215,749
917601886,8.9176E+11,220000,1年,,,99427,176,236,362,433
917601886,8.9176E+11,220000,1年,,,128998,197,44,67,433
917601886,8.9176E+11,220000,1年,,,119144,134,135,191,433
917601886,8.9176E+11,220000,1年,,,0,0,750,1239,433
917601886,8.9176E+11,220000,1年,,,122455,173,107,149,433
917601887,8.9176E+11,140000,1年,,,59730,80,578,938,749
917601886,8.9176E+11,220000,1年,,,124219,211,83,117,433
917601886,8.9176E+11,220000,1年,,,113550,159,168,252,433
917601886,8.9176E+11,220000,1年,,,92423,134,264,398,433
917601886,8.9176E+11,220000,1年,,,96462,158,248,378,433
917601886,8.9176E+11,220000,1年,,,116011,165,156,230,433
917601886,8.9176E+11,220000,1年,,,125282,217,71,101,433
917601886,8.9176E+11,220000,1年,,,123969,195,85,120,433
917601886,8.9176E+11,220000,1年,,,129314,209,39,61,433
917601887,8.9176E+11,140000,1年,,,64674,130,507,809,749
917601887,8.9176E+11,140000,1年,,,74487,138,337,520,749
917601887,8.9176E+11,140000,1年,,,66672,96,476,756,749
917601887,8.9176E+11,140000,1年,,,21329,37,743,1229,749
917601886,8.9176E+11,220000,1年,,,127991,203,53,77,433
917601887,8.9176E+11,140000,1年,,,72741,135,372,571,749
917601887,8.9176E+11,140000,1年,,,49112,98,682,1122,749
917601886,8.9176E+11,220000,1年,,,56765,70,617,1007,433
917601886,8.9176E+11,220000,1年,,,110738,166,191,286,433
917601886,8.9176E+11,220000,1年,,,77181,111,299,459,433
917601886,8.9176E+11,220000,1年,,,59773,77,577,937,433
917601887,8.9176E+11,140000,1年,,,68277,115,444,708,749
917601887,8.9176E+11,140000,1年,,,44093,58,708,1167,749
917601887,8.9176E+11,140000,1年,,,48281,80,685,1131,749
917601886,8.9176E+11,220000,1年,,,57042,76,611,1001,433
917601887,8.9176E+11,140000,1年,,,62548,90,544,871,749
917601887,8.9176E+11,140000,1年,,,64475,110,510,817,749
917601887,8.9176E+11,140000,1年,,,40707,70,721,1189,749
917601886,8.9176E+11,220000,1年,,,56394,100,622,1013,433
917601886,8.9176E+11,220000,1年,,,98913,157,241,368,433
917601886,8.9176E+11,220000,1年,,,126350,210,65,91,433
917601886,8.9176E+11,220000,1年,,,109754,155,195,292,433
917601885,8.9176E+11,295000,1年,,,129465,200,37,59,57
917601886,8.9176E+11,220000,1年,,,125259,175,72,102,433
917601885,8.9176E+11,295000,1年,,,165476,195,10,12,57
917601886,8.9176E+11,220000,1年,,,86518,124,276,417,433
917601886,8.9176E+11,220000,1年,,,88434,107,275,411,433
917601887,8.9176E+11,140000,1年,,,10183,18,746,1234,749
917601887,8.9176E+11,140000,1年,,,52595,78,656,1077,749
917601886,8.9176E+11,220000,1年,,,90657,123,267,402,433
917601886,8.9176E+11,220000,1年,,,129231,188,42,64,433
917601886,8.9176E+11,220000,1年,,,121009,173,120,172,433
917601886,8.9176E+11,220000,1年,,,102176,164,229,349,433
917601886,8.9176E+11,220000,1年,,,102083,148,230,350,433
917601886,8.9176E+11,220000,1年,,,79275,128,291,440,433
917601887,8.9176E+11,140000,1年,,,73906,104,347,535,749
917601886,8.9176E+11,220000,1年,,,47733,70,689,1138,433
917601887,8.9176E+11,140000,1年,,,75141,98,326,499,749
917601886,8.9176E+11,220000,1年,,,93446,123,260,393,433
917601886,8.9176E+11,220000,1年,,,41572,61,718,1184,433
917601886,8.9176E+11,220000,1年,,,113528,161,169,253,433
917601887,8.9176E+11,140000,1年,,,72261,142,379,585,749
917601887,8.9176E+11,140000,1年,,,56311,77,624,1018,749
917601886,8.9176E+11,220000,1年,,,84101,149,279,423,433
917601887,8.9176E+11,140000,1年,,,71550,119,389,606,749
917601886,8.9176E+11,220000,1年,,,108993,163,196,293,433
917601887,8.9176E+11,140000,1年,,,46395,61,693,1145,749
917601887,8.9176E+11,140000,1年,,,60738,84,561,911,749
917601886,8.9176E+11,220000,1年,,,91288,146,265,400,433
917601886,8.9176E+11,220000,1年,,,112496,172,177,261,433
917601887,8.9176E+11,140000,1年,,,45293,64,701,1157,749
917601886,8.9176E+11,220000,1年,,,123317,189,98,136,433
917601887,8.9176E+11,140000,1年,,,46955,73,691,1143,749
917601886,8.9176E+11,220000,1年,,,120553,177,125,178,433
917601887,8.9176E+11,140000,1年,,,43742,78,709,1169,749
917601887,8.9176E+11,140000,1年,,,42408,68,715,1179,749
917601887,8.9176E+11,140000,1年,,,49312,78,680,1120,749
917601887,8.9176E+11,140000,1年,,,65152,124,503,804,749
917601886,8.9176E+11,220000,1年,,,112233,142,182,269,433
917601887,8.9176E+11,140000,1年,,,68765,130,432,687,749
917601886,8.9176E+11,220000,1年,,,116458,174,153,225,433
917601886,8.9176E+11,220000,1年,,,115124,198,159,237,433
917601886,8.9176E+11,220000,1年,,,117204,217,144,210,433
917601887,8.9176E+11,140000,1年,,,62547,121,545,872,749
917601886,8.9176E+11,220000,1年,,,90305,125,269,404,433
917601886,8.9176E+11,220000,1年,,,124314,186,81,115,433
917601887,8.9176E+11,140000,1年,,,64422,111,512,819,749
917601885,8.9176E+11,295000,1年,,,161307,254,12,16,57
917601887,8.9176E+11,140000,1年,,,65536,99,493,790,749
917601887,8.9176E+11,140000,1年,,,67231,105,461,735,749
917601887,8.9176E+11,140000,1年,,,77281,107,298,456,749
917601887,8.9176E+11,140000,1年,,,62621,98,543,870,749
917601886,8.9176E+11,220000,1年,,,92758,147,263,397,433
917601886,8.9176E+11,220000,1年,,,65885,112,487,775,433
917601887,8.9176E+11,140000,1年,,,33258,51,733,1214,749
917601886,8.9176E+11,220000,1年,,,103555,170,221,336,433
917601886,8.9176E+11,220000,1年,,,116257,140,154,227,433
917601886,8.9176E+11,220000,1年,,,120300,184,128,181,433
917601886,8.9176E+11,220000,1年,,,115673,224,157,233,433
917601887,8.9176E+11,140000,1年,,,52506,72,657,1078,749
917601886,8.9176E+11,220000,1年,,,111234,161,185,277,433
917601886,8.9176E+11,220000,1年,,,95989,137,249,380,433
917601887,8.9176E+11,140000,1年,,,48859,86,683,1125,749
917601886,8.9176E+11,220000,1年,,,122935,215,103,142,433
917601885,8.9176E+11,295000,1年,,,123376,164,97,134,57
917601887,8.9176E+11,140000,1年,,,59982,125,573,931,749
917601885,8.9176E+11,295000,1年,,,168357,260,8,8,57
917601887,8.9176E+11,140000,1年,,,48231,72,687,1133,749
917601887,8.9176E+11,140000,1年,,,71017,131,396,619,749
917601886,8.9176E+11,220000,1年,,,125171,174,73,103,433
917601885,8.9176E+11,295000,1年,,,174564,257,4,4,57
917601886,8.9176E+11,220000,1年,,,113116,173,172,256,433
917601887,8.9176E+11,140000,1年,,,43698,65,710,1170,749
917601887,8.9176E+11,140000,1年,,,69748,128,416,656,749
917601886,8.9176E+11,220000,1年,,,126066,184,66,95,433
917601886,8.9176E+11,220000,1年,,,129442,206,38,60,433
917601886,8.9176E+11,220000,1年,,,123520,183,93,129,433
917601887,8.9176E+11,140000,1年,,,67898,104,449,716,749
917601887,8.9176E+11,140000,1年,,,65217,91,500,801,749
917601887,8.9176E+11,140000,1年,,,57900,86,602,986,749
917601886,8.9176E+11,220000,1年,,,122065,177,110,155,433
917601887,8.9176E+11,140000,1年,,,55951,80,628,1022,749
917601887,8.9176E+11,140000,1年,,,70421,94,405,635,749
917601885,8.9176E+11,295000,1年,,,160844,207,13,17,57
917601887,8.9176E+11,140000,1年,,,61716,149,552,889,749
917601887,9.17614E+11,140000,大学院生,,,66517,89,477,759,749
917601887,9.17616E+11,140000,学生以外,,,68163,89,445,710,749
917601886,9.17618E+11,220000,大学院生,,,122566,170,106,147,433
917601885,9.17618E+11,295000,5年生以上,,,141969,87,22,38,57
917601886,9.17619E+11,220000,5年生以上,,,89183,73,272,408,433
917601887,9.17619E+11,140000,大学院生,,,71309,94,395,615,749
917601887,9.1762E+11,140000,5年生以上,,,61672,80,554,893,749
917601886,9.1762E+11,220000,5年生以上,,,130825,192,31,52,433
917601887,9.1762E+11,140000,大学院生,,,67307,85,458,732,749
917601887,9.1762E+11,140000,5年生以上,,,50183,90,673,1111,749
917601886,9.1762E+11,220000,大学院生,,,120410,110,127,180,433
917601886,9.1762E+11,220000,大学院生,,,104758,147,215,327,433
917601887,9.1762E+11,140000,5年生以上,,,31392,41,736,1218,749
917601887,9.17621E+11,140000,大学院生,,,76415,96,307,474,749
917601886,9.17621E+11,220000,大学院生,,,79655,66,289,437,433
917601887,9.17621E+11,140000,大学院生,,,71520,90,391,609,749
917601887,9.17621E+11,140000,大学院生,,,70969,100,398,621,749
917601887,9.17621E+11,140000,5年生以上,,,48202,78,688,1134,749
917601886,9.17621E+11,220000,大学院生,,,116693,141,151,223,433
917601886,9.17621E+11,220000,大学院生,,,102290,134,228,348,433
917601886,9.17621E+11,220000,大学院生,,,132858,142,26,45,433
917601885,9.17621E+11,295000,5年生以上,,,122015,103,111,156,57
917601886,9.17621E+11,220000,大学院生,,,93676,95,259,392,433
917601887,9.17621E+11,140000,5年生以上,,,50714,68,671,1106,749
917601885,9.17621E+11,295000,大学院生,,,128217,108,51,75,57
917601886,9.17621E+11,220000,大学院生,,,113416,162,171,255,433
917601886,9.17621E+11,220000,大学院生,,,124630,183,79,111,433
917601887,9.17621E+11,140000,大学院生,,,44579,56,706,1164,749
917601887,9.17621E+11,140000,大学院生,,,66225,120,483,766,749
917601887,9.17621E+11,140000,大学院生,,,49711,68,676,1115,749
917601887,9.17621E+11,140000,5年生以上,,,68451,89,437,701,749
917601886,9.17621E+11,220000,大学院生,,,129049,190,43,66,433
917601887,9.17621E+11,140000,大学院生,,,41339,57,719,1186,749
917601887,9.17621E+11,140000,大学院生,,,60771,78,560,910,749
917601887,9.17621E+11,140000,大学院生,,,24948,35,740,1226,749
917601886,9.17621E+11,220000,大学院生,,,56510,83,621,1011,433
917601887,9.17621E+11,140000,大学院生,,,57027,75,612,1002,749
917601887,9.17621E+11,140000,大学院生,,,69009,89,429,680,749
917601886,9.17621E+11,220000,大学院生,,,118997,150,136,192,433
917601886,9.17621E+11,220000,5年生以上,,,123814,175,88,124,433
917601887,9.17621E+11,140000,5年生以上,,,75709,104,317,488,749
917601886,9.17621E+11,220000,大学院生,,,99987,79,235,357,433
917601887,9.17621E+11,140000,大学院生,,,58557,81,595,972,749
917601887,9.17621E+11,140000,大学院生,,,77758,102,295,451,749
917601886,9.17621E+11,220000,大学院生,,,127962,120,55,79,433
917601887,9.17621E+11,140000,大学院生,,,800,1,749,1238,749
917601887,9.17621E+11,140000,大学院生,,,67712,88,453,723,749
917601886,9.17621E+11,220000,大学院生,,,94413,80,255,387,433
917601886,9.17621E+11,220000,大学院生,,,79976,73,287,435,433
917601886,9.17621E+11,220000,大学院生,,,113586,140,167,251,433
917601886,9.17621E+11,220000,大学院生,,,106368,143,211,315,433
917601887,9.17621E+11,140000,大学院生,,,41821,54,717,1182,749
917601887,9.17621E+11,140000,5年生以上,,,64153,84,518,828,749
917601887,9.17621E+11,140000,大学院生,,,66927,86,469,747,749
917601886,9.17621E+11,220000,大学院生,,,122596,125,105,145,433
917601886,9.17621E+11,220000,大学院生,,,65889,100,486,774,433
917601886,9.17621E+11,220000,大学院生,,,120797,97,123,176,433
917601887,9.17621E+11,140000,大学院生,,,73423,93,353,545,749
917601886,9.17621E+11,220000,5年生以上,,,105047,162,212,322,433
917601887,9.17621E+11,140000,大学院生,,,70084,93,409,645,749
917601887,9.17621E+11,140000,大学院生,,,65757,108,489,779,749
917601887,9.17621E+11,140000,大学院生,,,23274,33,741,1227,749
917601887,9.17621E+11,140000,大学院生,,,56568,73,619,1009,749
917601886,9.17621E+11,220000,大学院生,,,60155,69,571,926,433
917601885,9.17622E+11,295000,大学院生,,,151990,183,18,27,57
917601887,9.17622E+11,140000,大学院生,,,37167,80,728,1201,749
917601886,9.17622E+11,220000,大学院生,,,111370,158,184,276,433
917601887,9.17622E+11,140000,大学院生,,,76299,117,309,477,749
917601887,9.17622E+11,140000,5年生以上,,,47535,66,690,1139,749
917601887,9.17622E+11,140000,大学院生,,,73107,93,360,553,749
917601887,9.17622E+11,140000,大学院生,,,75053,96,329,503,749
917601887,9.17622E+11,140000,5年生以上,,,68061,89,447,713,749
917601886,9.17622E+11,220000,大学院生,,,112749,168,175,259,433
917601887,9.17622E+11,140000,5年生以上,,,69900,93,413,652,749
917601887,9.17622E+11,140000,5年生以上,,,73071,95,362,555,749
917601887,9.17622E+11,140000,大学院生,,,66433,98,479,761,749
917601887,9.17622E+11,140000,大学院生,,,70739,91,401,626,749
917601887,9.17622E+11,140000,大学院生,,,71582,108,388,604,749
917601887,9.17622E+11,140000,大学院生,,,68302,95,442,706,749
917601885,9.17622E+11,295000,5年生以上,,,140511,158,23,39,57
917601887,9.17622E+11,140000,5年生以上,,,60218,133,570,925,749
917601885,9.17622E+11,295000,5年生以上,,,176326,102,2,2,57
917601885,9.17622E+11,295000,大学院生,,,154428,167,14,23,57
917601885,9.17622E+11,295000,5年生以上,,,152169,185,17,26,57
917601887,9.17622E+11,140000,大学院生,,,77403,98,297,454,749
917601887,9.17622E+11,140000,大学院生,,,67264,116,460,734,749
917601886,9.17622E+11,220000,大学院生,,,83810,124,280,424,433
917601887,9.17622E+11,140000,5年生以上,,,64335,83,516,824,749
917601887,9.17622E+11,140000,大学院生,,,69549,105,421,665,749
917601886,9.17622E+11,220000,大学院生,,,121520,132,116,164,433
917601886,9.17622E+11,220000,5年生以上,,,88907,129,273,409,433
917601887,9.17622E+11,140000,5年生以上,,,73725,144,349,538,749
917601887,9.17622E+11,140000,大学院生,,,74002,95,346,531,749
917601886,9.17622E+11,220000,大学院生,,,59235,86,585,950,433
917601887,9.17622E+11,140000,大学院生,,,65796,96,488,777,749
917601887,9.17622E+11,140000,5年生以上,,,48780,64,684,1126,749
917601887,9.17622E+11,140000,大学院生,,,46341,67,694,1146,749
917601887,9.17622E+11,140000,大学院生,,,50079,83,674,1112,749
917601886,9.17622E+11,220000,大学院生,,,104150,151,217,331,433
917601886,9.17622E+11,220000,大学院生,,,123536,182,92,128,433
917601887,9.17622E+11,140000,5年生以上,,,55871,74,630,1025,749
917601887,9.17622E+11,140000,5年生以上,,,45682,61,698,1151,749
917601887,9.17622E+11,140000,5年生以上,,,65232,134,499,799,749
917601887,9.17622E+11,140000,大学院生,,,72774,94,371,570,749
917601887,9.17622E+11,140000,大学院生,,,60886,80,559,907,749
917601887,9.17622E+11,140000,大学院生,,,51015,69,670,1101,749
917601887,9.17622E+11,140000,大学院生,,,24952,41,739,1225,749
917601887,9.17622E+11,140000,大学院生,,,68644,104,435,695,749
917601886,9.17622E+11,220000,大学院生,,,129882,198,35,57,433
917601887,9.17622E+11,140000,大学院生,,,71323,92,394,614,749
917601886,9.17622E+11,220000,大学院生,,,95231,138,254,386,433
917601886,9.17622E+11,220000,5年生以上,,,98222,123,243,371,433
917601887,9.17622E+11,140000,大学院生,,,71478,119,392,611,749
917601887,9.17622E+11,140000,大学院生,,,73358,141,354,546,749
917601886,9.17622E+11,220000,大学院生,,,131080,194,29,50,433
917601885,9.17622E+11,295000,大学院生,,,167340,191,9,9,57
917601887,9.17622E+11,140000,大学院生,,,64959,90,506,807,749
917601887,9.17622E+11,140000,大学院生,,,51931,75,662,1086,749
917601887,9.17622E+11,140000,大学院生,,,78381,104,293,445,749
917601887,9.17622E+11,140000,5年生以上,,,42957,56,713,1176,749
917601887,9.17622E+11,140000,大学院生,,,76691,100,302,468,749
